question_text,target
"When was the ""well-regulated militia"" clause deleted from the 2nd Amendment? How does this phrase endorse civilians owning and carrying military-grade weapons?",1
"Is it wise for a father of twins to name one of them ""Hitler"" and the other one ""Stalin""?",1
Do women who are feminists worry that their sons will inhabit a planet where their rights have been depleted to accommodate women who seek power?,1
Was Hitler right in blaming Jewish financiers for world war?,1
"I'm a conservative, but all I see are liberal answers. Why is that?",1
Why do people think that Obama brought us together when his actions have caused more racial divide and tensions?,1
Why do Finnish people start speaking English suddenly while they're already talking in Finnish?,1
How your incest start?,1
Is Transgenderism a mental illness? Is psychiatric therapy more effective in cases of transgenderism than Gender Reassignment Surgery?,1
"Do Chinese feel inferior to Japanese, Korean, and whites?",1
Who has a better sense of humor an Auschwitz guard or a Quoran moderator?,1
I am your dear President Vladimir Putin. Trump said that he likes me. Should I accept his proposal?,1
Why Indian Muslims do not like India?,1
"Is it true that people who commited sin in past life are born in India, Pakistan & other Asian as well as African countries which cannot become developed one in future?",1
"With racial divisions being laid bare in the U.S.A., can anyone explain ""white"" America's obsession with sport leagues with such high ""black"" content such as the NBA & NFL?",1
Why do SJW types worry about things that do not matter when real problems (minimum wages/ health care) are left unsolved?,1
"After extensive studying of the US constitution, how do the Democrats and Liberals still advocate for the expansion of the federal government and limiting of the states, especially when the 9th and 10th amendments state the opposite?",1
"Since skies are way emptier than roads, can airline pilots drink as much alcohol as they want before or even during a flight?",1
Why should American people trust fake news like Washington Post?,1
Do you trouble women just because Muhammad was a pedophile?,1
"Why haven't I seen any millennials or liberals getting triggered over the word ""God"" in the pledge of allegiance?",1
Should Rahul Gandhi be declared the most important intellectual of India given his Twitter trolling of Fekuchand and Jumlendra Modi?,1
Is India a biggest shithole country in this world?,1
"Do atheists have any logical scientific justification to claim that ""all men are created equal"" and is based on observable facts?",1
"Do blacks realize that until there is another world power, you are totally at the mercy of the whites?",1
"Why every Indian girl on international stage (miss world, miss universe, supranational) told that in India being born as a girl child is curse we are here to prove bla bla but in reality is it true?",1
"If a Muslim Kebob shop owner refused to cater a gay wedding on TV, would he publicly harassed in the same way a Christian owner would be?",1
Is it sufficient for self realization to be confined to a few people? How could we make a mass impact on the mindset of people towards true knowledge and worship on the Land of Origination of Vedanta where 99% people are ignorant?,1
"Are Hurricane Harvey and Irma convincing evidence of anthropogenic global climate change, or just proof that God hates Trump and the Americans who voted for him?",1
I feel like rubbing my poop on my face but my friend suggests that I should apply rat urine before to make me more beautiful. What should I do?,1
How common is mother son sex in India?,1
Why is Sikhism such an obviously false religion with pakhandi gurus on the charas?,1
Is the earth oval or flat?,1
Why does Stepen Hawking look so ugly?,1
Why should the UK be allowed to have tea? It has caused more misery than lawfully-owned guns.,1
Why don't citizens being questioned by congress ever push back on politically-motivated and grandstanding questions?,1
"If you lie to your NPDS/HPDS flying monkeys, does it make you just as bad as them?",1
Will liberals ever accept they lost because Hillary was evil?,1
"Is it me, or are the only ones committing racist crimes are the Hillary supporters against white people?",1
Why does women clothing tend to be more revealing compared to men clothing?,1
Can Hillary Clinton still be prosecuted even though her bogus FBI investigation has been closed? Can't she be reinvestigsted or have the Justice Department move forward and prosecuted with what the FBI has already?,1
Why are Bangladeshi feminists shit?,1
"During a rape, is it possible that the woman is secretly enjoying the whole episode of unexpected sex?",1
Why are there over 200 scriptures from the Bible stating that the Earth is flat?,1
"Why do black people tell me to ""atone"" for my slave owning ancestors sins, when my family fought and died for the Union during the Civil War? Doesn't that make them the racists for assuming my family fought for the rights to own slaves?",1
When will believing in God be classified as a mental health issue?,1
Is adopted kids like pets?,1
Did Kim Jong-Un only agree to a South Korean summit just so he could have a free banquet?,1
Will girls be raped easily in India?,1
Shouldn't people who ask really stupid questions on Quora be banned?,1
"If Luke Skywalker has submitted to the Emperor, would the Emperor have had Luke castrated to ensure his obedience?",1
"Given that The Economist magazine is now a second-rate, shrill & shabby advocate for the center-left policy, which periodicals thoughtfully speak for classical liberal ideas, free trade, sensible pro-growth, and human-capital policy?",1
"Did people who were of ""the Aryan race"" get sent to prison camps or did they get any kind of harassment in the Second World War?",1
Why is the black race the most despised race world wide? From Asia to Europe to the Americas to Oceania black people are discriminated against.,1
Donald Trump wants to imprison people who don't agree with him. Can people wake up and realize he's a dictator?,1
Do Bengali women consider Bengali men as feminine? Is that why they choose North Indian men over Bengalis?,1
Why don't Tamil people speak English or any other language? Is it because they are very obsessed with their own language or they can't speak English?,1
"Can I identify as an animal/otherkin and be accepted in society, or will people be transphobic?",1
Why does the Chinese President wear a Western style suit when their ideological position is against Western cultural hegemony?,1
"Why are 30-60 year olds on Quora apparently among the most ""little turd""-type people anywhere (e.g. in terms of education, social media, argument etc.)?",1
What is Taylor Swift's phone number?,1
Is it true that most women fantasize about having their boyfriend/husband watch them have sexual intercourse with another man?,1
Why are lighter people in weight more aggressive?,1
How could I get someone fired?,1
Do you feel that the Republican Party has gone from a party of some moderates and independents to one of almost exclusively hardcore extreme reich-wingers?,1
Is it bad that liberals assume that minorities are incapable of obtaining voter registration cards?,1
Why are transgender women (MtF) attracted to women so often? Is there scientific evidence that debunks autogynephilia?,1
Why do feminists want to force equality of outcome when that is clearly social engineering?,1
Will Democrats care if Kim Jong-Un caves to Trump?,1
How do I get a boy (age 11) to like me in year 6?,1
Why is Quora management so damn full of control freaks?,1
"Is Trump playing golf again this weekend, even as the families who lost their children after the Florida high school mass killing grieve?",1
Why do liberals want to destroy our economy?,1
Is it unconstitutional how the mentally ill don't have their Second Amendment Rights that mentally healthy people have?,1
"Why don't working people just quit and go on welfare? Lots of you think its easy to do, and that it pays great. You sound so envious, so why not?",1
"Is the Russian state supporting the doping of the Russian OL-members? If so, why?",1
Why don’t Muslims like new homes in Europe?,1
Is it possible to help a vegan to see an alternate point of view?,1
Are cyclists required to stop during red lights at Traffic stop?,1
"Who is a more beautiful girl, a Hindu or a Muslim?",1
Why does India send terrorists to Pakistan?,1
If Hindus consider Ganges as their mother then why is the mother being fed so much untreated sewage and filth to choke it to death?,1
Was Trump's winning of the election really a shady deal? Most people I have questioned during my travels believe so.,1
Were there any concentration camps in Germany?,1
It is now officially proven that chimpanzees are smarter than the average hardcore Trump supporter. What are your thoughts?,1
"Have liberals always been against free speech, or is this a recent phenomenon? Where in the current mainstream sociopolitical climate the 'right to not be offended' supersedes the right to offend?",1
Is it racist that my washing machine wants me to segregate between colors and whites? I'm offended and might go protest outside of GE?,1
"Why do Americans and Anglospheres think that fascism, NationalSocialism and even Stalinism are Right Wing ideologies?",1
Why are there very private verses in the Qur'an about Prophet Muhammad's sexual life?,1
"Why are the people or companies of all countries around the world vomiting British money and feel disgust to the British people, too?",1
"Do Iranian leaders know that their historic ancestors were defeated ignominiously, by the few, every time they tried to expand?",1
How many penises can a women in her ass at one time?,1
Why do women constantly lie to the man that they supposedly love to get what they want I know it happens but is it bread into their DNA or what?,1
"Is it true that ""diversity"" is code word for ""white genocide""?",1
When a women wears a short skirt do they expect people to see their panties?,1
"After many months now, and my offer of one million dollars; is there still not one atheist in the world who can find a flaw in my proof of God? If not, how soon will they stop spreading BS about their magical evolution theories, or was that fairies?",1
Are film and TV piracy increasing because millennials are unemployed and have debt?,1
Is it normal if I have babies with my half sister?,1
"If Trump strikes Syria, will Democrats be impressed that he is killing a lot of misogynistic Muslims, rather than how Hillary took campaign funds to get rich from them?",1
Why do mainstream people all accept homosexuality when the true God says it's wrong?,1
Does the west realize how hypocritical it is to judge other countries on things like discrimination when it has some of the worst cases of it?,1
"A person says, ""Jews try to avoid criticism against themselves by using the term 'anti-Semitism'"", how do I argue in such a situation?",1
When will jeruselum be liberated from the Jews?,1
Do you also find Emma Gonzalez annoying?,1
"Would Trump supporters advocate book burning? If so, which books would you like to see burned?",1
Will the world be happier without Muslims?,1
Does it concern you that Donald Trump may have Alzheimer's disease?,1
Why do many people hate white people?,1
"Why not reconsider following me because I would say ""refuzniks"" for group to rule something, and Israel's creation of an abominable act?",1
"Would Asian women stop dating outside their race so much if their men weren't such racist, hyper nationalist wackjobs?",1
"Why do the pseudo-intellects overly criticize Hindus, a religion they were born into? What if a Muslim does that to their religion?",1
"In view of his latest remarks disparaging so-called shithole countries, would it be appropriate from now on to refer to him as the shitheel president?",1
How does Japan get away with xenophobia and racial discrimination whilst apartheid drew international condemnation?,1
"Liberals claim to be more intellectual, but if so, why are their solutions to society's big problems so simplistic?",1
Are we Chinese superior to the indigenous people of Southeast Asia? Why or why not,1
"Why do political parties like Congress, AAP, TMC, SP, BSP, etc., not respect the martyrdom of an army officer but debate on the death of terrorists?",1
"When Jamie Lannister and Barristan Selmey were captured after Robert's Rebellion, were they castrated as punishment for serving the Mad King?",1
Do Chinese people who convert to Christianity do it because they're tired of the uncaring rat-race nature of mainstream secular Chinese society and seek an alternative value system that values them for who they are already?,1
What is it with the all the repetitive Ashton question! Are you for real?,1
Do you think any Republicans outside the Trump campaign colluded with Russia during the 2016 Presidential Campaign?,1
What type of dog is best for unsocial-able people.Asking for my pet donkey?,1
Would you suck a gorillas nuts for $100?,1
God (who commands Satan) told me that we will see a nuclear war unless I cut off my genitals. How can I do this if I'm afraid of pain and suffering?,1
"Why can't the Baltic states pass measures to punish Russia for its occupation of Germanic Baltic lands? We could criminalize Orthodoxy, make it illegal to speak or teach Russian, force them to wear yellow double headed eagles, etc. Are we weak?",1
"Why do most Americans seem to think that everything is reducible to 'just a matter of opinion', that anybody is entitled to holding and expressing their opinions, regardless of how disagreeable to law, ethics or science these opinions might be?",1
Is a woman working in robotics engineering worth anything?,1
Why do Muslim leaders want to protect Hamas backed terrorists who have been attacking an international border from justified retaliation from Israel?,1
"Could someone tell of how people identifying with China, relate to ""common sense""?",1
"Why does Sean hannity make it so hard to get in touch with him is he hiding from the truth, he is a first class fake?",1
Why are all girls from NIT Patna flat on Shikhar Parashar?,1
How can I convince my mom into having sex with me?,1
"If I have long nails, how do I anally masturbate without cutting my intestines?",1
Why Muslim are bad?,1
Why are there so many presumptive questions about Trump appearing on Quora lately? Is it because they are designed more to influence opinion rather than to get a genuine answer and are actually part of a larger pro-Trump propaganda campaign?,1
Is in-breeding a cause for autism?,1
"On a scale from 1-20, how badly do people need to stop worshiping Elon Musk and have a legit conversation about how much tax money he takes when blue origin is going to blow them out the water?",1
"American politics are for dumbasses, Russian politics are for thugs, and British politics are for superficial pussies. Are there any countries with politics for normal people?",1
Why do girls on Instagram look so weird an bitchy?,1
How can conservative Christians dovetail their apparent lack of empathy for the poor with their Christian views?,1
"How is it possible for an illiterate, uneducated tea provider to become the Prime Minister of India? Shouldn't there be some minimum educational requirements for these politicians to have?",1
"How can I stop being a secretive, manipulative, and determined sexual abuser of teenage girls whom I teach? I am a biology teacher.",1
"After the summit, can we now realize that Trump is a Berlusconi wannabe dictator?",1
Why Americans are so touchy about their country?,1
Why are most Quorans so nerdy and obsessed with hearing themselves talk?,1
"Since many Kurds claim that a Kurdistan exists, why can’t I find it on my world map? Where is Kurdistan?",1
Why do the vast majority of American citizens not understand that the 16th amendment did not confer the Congress with any new powers of taxation?,1
"Why am I still studying math if I know that boys are better than girls at math and science, as a lot of studies show?",1
"Open the link bellow. Look at the right side, the list of similar questions. This is the perfidious NLP-implanting of war-idea of Jewish elites. Why the Quora Moderation does not react?",1
Are Jews out to get me?,1
"I don't mean to be racist, but why are black people so fixated on people not being racist to them, but contradict themselves by creating stereotypes and using racist slang towards themselves? At least, this is where I live, but still.",1
"If Islam, Sharia, etc, are truly important to Muslims, why not remain in an Islamic country, rather than moving to the West and trying to impose Islam here? Is the motive of greed for material things more important than the spiritual need?",1
Who are most narcissist men or women?,1
Why do Swedes ignore that there is a migrant rape problem?,1
Can women have more passionate sex with a small penis guy than a big penis guy although a small penis is a turn off?,1
Is Quora either loosely or strictly a dopamine trap?,1
Will Obama plead innocent?,1
"Why is it that when a girl is shy, she's ""cute"", but when a guy is shy, he's a ""weirdo""?",1
Is Hardik Pandya a total idiot or a moron?,1
Why do the Chinese think that the future belongs to China?,1
"What standard of living does an average Russian have? Whilst on holiday in Cyprus, I witness them filling their bags with food at breakfast time. They steal food at every meal.",1
My Indian housemate is incredibly stinky and she makes the whole apt stinky. She said she can't smell anything and this is my nose problem. Can't Indian smell themselves?,1
Is it true that Japanese girls sleep with a lot of guys as shown in an interview?,1
"Bengali Brahmins have produced more Nobel breakthroughs in terms of population than white/Japanese, but not as good as Ashkenazi Jew.How it's possible?",1
Do illegal Mexicans bring all kinds of illnesses back to America?,1
"Why do you think European Americans do mass shooting, but African Americans don't? What is difference between them?",1
Will you go to hell because being a transgender? Do God hates them?,1
When will China relax its visa regime towards Pakistani citizens? This is hurting Chinese tourism hugely.,1
Why dont Germans officially recognize Namibian Genocide?,1
Are feminists against the notion of safety?,1
Are Asians views a bit narrower due to the thinner eyeholes? (Not trying to offend),1
Was Robert Byrd a DINO?,1
How can we educate Westerners using great Chinese philosophy?,1
Does the president of Belgium Macaron eat macarons the food?,1
Where in Mumbai do nurses in hospitals wear short skirts without panties?,1
Do most non-Muslim Malaysians today look down on Muslim Malaysians and consider them to be hypocrites for choosing not to turn their nation into a completely Islamic country governed by Sharia Law?,1
Why are Pashtuns so obsessed about skin color?,1
Did Modi ever sell panipuri in Nepal?,1
How come most people in USA do not care about how the killer Bush killed 1 million iraqui people?,1
"Why are Indian men desperate to get married but despises their wives, makes fun of them in social gatherings and acts as if their wives are the making their lives hell as soon as they are married?",1
Is Trump turning Mueller's witch hunt into a wild goose chase?,1
Why urban Marathi ashamed of talking in Marathi?,1
"Why do people -- particularly the media, Democrats, some Republicans -- jump all over President Trump for any little thing he does when they looked the other way for much more egregious things Obama and his administration did?",1
Why do Chaldean men treat other race women as less than their own women?,1
Why do supposedly intelligent people believe in god?,1
Why are white men's foreheads so big?,1
"How many sins you have commited in your life (if you want to write that you haven't sinned, you are liar, means sinner)?",1
"Is NASA embarrassed, after putting a man on the moon in the sixties, since they are somehow currently unable to replicate this event?",1
I believe integration was the worst thing to happen in this country. Wouldn't we be better off if we separated ourselves?,1
"It said in a hadith that people will know of the end of the world when buildings reach for the skies. if you look now, most of the tall buildings and skyscrapers are in Muslim countries like UAE, Saudi Arabia etc. Does this mean that Muslims are responsible for the end of the world?",1
Is it tradition for Catalans to wrap themselves in yellow plastic and rape a tree in public?,1
Is troll a gender if so am I being descriminated against?,1
How is Thomas Bennett such a homosexual?,1
Is Quora full of self-appointed geniusses who prefer to give snarky comments over actual answers?,1
Why do Tamil Brahmins hate other Tamils?,1
Is it weird for a 12-year-old girl to be in pain when putting fingers in her vagina?,1
"If I rape a kid, what is the worst thing that could happen to me, because honestly I dont care about the kid's?",1
How do I check my black privilege?,1
Is it true that Muslims spread disease?,1
How can Lord Shiva retaliate if I smash his idol(s) with a sledgehammer and crush them into pieces?,1
"Are modern day Europeans crypto-Muslims? Its general populace has already lost its cultural roots after years of war with Islam, and Europeans have since created another one known as modern culture today. This seems to have been taken from Islam.",1
Why do all the Christians not honour the Virgin Mary as the mother of God?,1
I find Turkish men hot. Is it possible for me to import one to Europe?,1
Is Alex Jones insane?,1
"How did you meet your first girlfriend/boyfriend? When women tell me they had all kinds of boyfriends, including ugly ones, are they telling lies?",1
Why do Andhbhakts deny the facts which are written on the wall?,1
"Is it true that most people in Netherlands are racist, bigots and Islamophobic by supporting Geert Wilders?",1
Why do people believe that all homeless people are drug addicts?,1
"Why has the Maharashtra BJP government chosen a Bihari lady, MS. Shweta Shalini, to be their spokesperson? Are there no educated Maharashtri people in the Maharathtra BJP?",1
"Why are Africans big penis, while Asians and Indians are small?",1
Are Indians and other South Asians the physically weakest people?,1
Is there a danger that white identity movements will grow to become as popular as other ethnic identity movements & embrace their aggressive tactics?,1
I want to have sex with my sister how do I approach her?,1
Why can't the Rashtriya Rifles finish off the Kashmiri insurgency?,1
"If both Honey Singh and Justin Bieber fall from the 5th floor, who will survive?",1
Why always women asking for equality in every things?,1
Why are there so few Holocaust witnesses that all the ones that exist become celebrities?,1
Why do girls pretend not to be ready for dating when they don't like you and are ready to date the guys they like?,1
"Are Kim Jong Un and Greg Gutfeld (Fox News) guilty of collusion, since they are the same height?",1
Why am I having difficulty submitting to God's Will and mutilating myself?,1
From where can I buy western christain women in Pakistan?,1
Did people in foreign lands notice the double murder of a journalist and his partner in Slovakia? It's likely he was murdered by the Mafia which has ties to Prime Minister ugly Fico.,1
Iam feadup with mylife so I need to play bluewhale?,1
Do Japanese men like Chinese girls?,1
Why do people blame the reservation candidates and not the system itself knowing that they would have done the same if in their position?,1
"Who do you think is more moral, a religious man helping the poor so he could go to heaven or an atheist helping the poor waiting for no fancy reward?",1
Why do gay people talk with lisps?,1
Why do men gets attracted/addicted to cleavage and breast as it's a human body part only?,1
Why was Jesus ok with answering loaded questions but Quora isn't? Does Quora think they are better than God?,1
Why do Indians ask so many troll questions regarding Pakistan and Israel in Quora?,1
Is it true that an average white male can project woman repsect up to 350 km/s?,1
Why did Trump finally pull the trigger to shot the Chinese trade by tax?,1
Why does the Orthodox patriarch of Alexandria allow Nigerian priests to marry after their ordinations? Why does he allow this exception?,1
Why do Turkish drivers disregard Pedestrian crossings?,1
"Why is Trump's locker room talk being referred to as bragging about sexual assault when he said ""they let you do it""?",1
Should Quora not view the nut in N. Korea as a baffoonish Porky Pig?,1
Why do women like to lick men asshole?,1
"What is terrorism, and why do people thought that Muslims are terrorists?",1
Is it safe to be near leather-wearers? What if they try to skin you?,1
Did the British sell the Ottoman territory to the European Jewish immigrants? Or did the European Jewish immigrants buy up territory from Arab owners?,1
How can you use the benefits of the Industrial Revolution but blame it (Britain and the West) for all the climate change problems?,1
"Is being vegan more about being a contrarian, millennial, snobby hipster, or is it more about real, valid, and doctor recommended nutritional advice?",1
"Why do Democrats care about McCain's status as ""war hero"" when Trump mocked him, but not when McCain was running against chickenhawk Barack Obama?",1
Is it true that African go around firing guns fixed to Toyota pick up tracks and kill people they don't like?,1
"With his bloated face, is Kim Jong-un ill or just obese?",1
"When will Russia stop its aggression in Eastern Ukraine and Crimea, and admit a fake nature of so-called ""referendums"", and ""rebellion""?",1
Why do libertarians have sex with cows and worship Satan?,1
What should India do to kick Pakistanis out of Kashmir?,1
How can we save Quora from the infestation of Trump supporters desperately seeking justification for their support of his administration?,1
Why do Indians think Tibetans are poorer than them?,1
What are not scam online services for essay writing?,1
Why do non-Christians insist on telling Christians what their beliefs are?,1
Do Quora Moderators and other individuals assume the right to have others kowtow before them and not have to hold up to basic scrutiny?,1
Turkish people here claim that a kurdish issue dosent exist yet why is this AKP-MHP support chanting such things?,1
"How about instead of ""Trump followers,"" we refer to those people as ""Trump cultists""?",1
Why do Indians not use toilets to deficate?,1
"Are non-Trump supporters really just beta males intimidated by his extremely masculine, alpha persona?",1
If not for Sex and procreation will the female gender have gone extinct? (Considering survival of the fittest and cruel nature of Men)?,1
"Is it time for the American government to grow up, to abandon their childish game and pull out their military forces from the Asian water?",1
"If you could hire a hitman to kill one person, who would you have killed?",1
"If Christians are truly pro life then why aren't they all for free healthcare and medical research, of they are truly pro life why do they only care about babies who can't feel emotion, pain, or suffering?",1
"Why was William Joyce (Lord Haw-Haw) buried in Ireland, when that piece of shit was an American by birth, and executed in England?",1
Why are Bosniaks ashamed of their Serb Orthodox Christian ancestors?,1
Do all Muslims understand that some parts of Islam are not peaceful?,1
Are New York Times readers happy that they now are openly communist?,1
Can 42 old bribed white men sign a bill that leaves 22 million out of health care because the trophy hunter financial $ociopath wants tax cuts?,1
Why are there increasing number of incidents where American school teachers (Ladies) are having an affair with their students? Does this show how low American moral values are?,1
"Why shall we refer to all judges, politicians and teachers ""Your Jewishness"" and expect no justice, peace, prosperity or educaton?",1
How many panamanians eat Mexican people?,1
Is it true the Russians who liberated Berlin were beasts?,1
Why do other Nordic countries say Swedes are stupid?,1
How can one ever reconcile with former friends who supported Trump when you now have such a low opinion of their intelligence?,1
"If I castrate my dog without anesthesia, would LSD distract him from the pain?",1
"How does Donald J Trump continue to lead and maintain his followers in a cult-like manner? Seriously, is there some sort of mind control or subliminal messaging or some sort of hidden force that enables him to get people to follow him as if a cult?",1
Are cattle herds in Texas the final Nazi stronghold in the world?,1
Why the handicaps never married?,1
"Why do American liberals belittle whites who don't speak good English when it's because they are poor according to their ideology and don’t have proper access to education, and at the same time claim they fight for the poor's sake?",1
Should I believe the Nibiru YouTubers?They seem pretty legit.,1
Would Georgians like to see Iran obliterated to avenge their Queen Ketevan?,1
Several of my son's classmates are applying to the same college that he is. How do I sabotage their application?,1
How do I break up with someone in elementary school?,1
Why are there so many stupid questions on Quora but I asked good questions and get banned for it? Did Israel did 9/11?,1
Why is it okay for President Trump to pardon cartel drug lords because reality television stars ask him to do so?,1
